birth,car,city,class,class_10_after,class_10_before,class_14,county,daughter,depression,edu,edu_other,edu_status,edu_yr,equity,f_birth,f_edu,f_political,f_work_14,family_income,family_m,family_status,floor_area,gender,happiness,health,health_problem,height_cm,house,hukou,hukou_loc,id,inc_ability,inc_exp,income,invest_other,join_party,learn,m_birth,m_edu,m_political,m_work_14,marital,marital_1st,marital_now,minor_child,nationality,neighbor_familiarity,political,property_other,province,relax,religion,religion_freq,s_birth,s_edu,s_hukou,s_income,s_political,s_work_exper,s_work_status,s_work_type,socia_outing,social_friend,social_neighbor,socialize,son,status_3_before,status_peer,survey_time,survey_type,view,weight_jin,work_exper,work_manage,work_status,work_type,work_yr,public_service,trust,invest,insur,leisure,media,property
1959,2,32,3,3,3,1,59,0,5,11,,4.0,-2.0,3,-2,4,4,1,60000.0,2,2,45.0,1,4.0,3,2,176,1,5,2.0,1,3,50000.0,20000,,,3,-2,4,1,1,3,1984.0,1984.0,0.0,1,4,1,,12,4,1,1,1958.0,6.0,5.0,40000.0,1.0,5.0,,,2,3.0,3.0,2,1,2,3,2015/8/4 14:18,1,4,155,1,2.0,3.0,1.0,30.0,420.0,7,1,5,33,23,1
1992,2,52,6,8,4,5,85,0,3,12,,4.0,2013.0,3,1972,3,1,2,40000.0,3,4,110.0,1,4.0,5,4,170,1,1,1.0,2,2,50000.0,20000,,,3,1973,3,1,2,1,,,,1,3,1,,18,4,1,1,,,,,,,,,1,2.0,6.0,2,0,1,1,2015/7/21 15:04,2,4,110,1,3.0,3.0,1.0,2.0,675.0,43,1,4,39,14,1
1967,2,83,5,6,4,3,126,2,5,4,,4.0,-2.0,4,-2,1,1,2,8000.0,3,3,120.0,2,4.0,4,4,160,1,1,1.0,3,2,80000.0,2000,,,2,-2,1,1,2,3,1990.0,1990.0,1.0,1,4,1,,29,4,0,3,1968.0,3.0,1.0,6000.0,1.0,3.0,,,2,5.0,2.0,3,0,1,2,2015/7/21 13:24,2,4,122,2,,,,,749.0,27,1,6,45,15,2
1943,1,28,5,7,5,2,51,4,4,3,,4.0,1959.0,4,-2,14,1,2,12000.0,3,3,78.0,2,5.0,4,4,163,1,1,2.0,4,2,10000.0,6420,,,4,-2,1,1,2,7,1960.0,,0.0,1,3,1,,10,4,1,1,,,,,,,,,1,6.0,1.0,2,1,1,2,2015/7/25 17:33,2,3,170,4,,,,,760.0,44,1,8,43,11,1
1994,1,18,1,1,1,4,36,0,3,12,,1.0,2014.0,2,1970,6,1,10,-2.0,4,3,70.0,2,4.0,5,5,165,1,2,3.0,5,-8,200000.0,-1,,,4,1972,4,1,15,1,,,,1,2,2,,7,3,1,1,,,,,,,,,3,5.0,7.0,4,0,2,3,2015/8/10 9:50,1,3,110,6,,,,,450.0,44,1,7,40,20,1
1946,2,52,8,8,1,1,86,1,4,2,,,,4,-2,2,1,2,5000.0,2,3,300.0,1,5.0,5,5,172,1,1,1.0,6,3,10000.0,5000,,,2,1917,1,1,2,3,1988.0,1988.0,0.0,1,4,1,,18,3,1,1,1949.0,1.0,1.0,0.0,1.0,4.0,,,1,4.0,3.0,3,2,1,3,2015/7/18 12:09,2,4,140,4,,,,,800.0,45,1,6,48,12,2
1963,2,27,2,3,2,2,49,0,2,4,,4.0,1979.0,4,1920,3,1,1,-3.0,3,2,89.0,1,4.0,2,2,160,1,2,2.0,7,3,50000.0,-3,,1980.0,1,1905,1,1,15,3,1987.0,1987.0,0.0,1,4,4,,10,3,1,1,1963.0,4.0,2.0,-3.0,1.0,1.0,3.0,1.0,1,,,1,1,2,3,2015/7/26 14:51,1,4,120,1,3.0,3.0,1.0,30.0,610.0,44,1,6,50,14,1
1959,2,31,2,2,1,1,54,0,5,4,,4.0,-2.0,4,-2,1,1,2,-1.0,2,3,130.0,1,4.0,3,5,176,1,2,1.0,8,-8,-2.0,-1,,,3,-2,1,1,-8,3,1979.0,1979.0,0.0,1,4,1,,11,3,0,8,1959.0,4.0,2.0,-1.0,1.0,4.0,,,1,3.0,4.0,3,1,2,2,2015/7/19 13:12,1,4,140,5,,,,,640.0,65,1,6,50,13,1
1952,2,81,3,5,3,2,122,0,2,3,,4.0,1964.0,4,1924,1,1,2,1600.0,1,2,36.0,1,4.0,2,2,175,1,1,1.0,9,3,5000.0,1600,,,1,1926,1,1,2,1,,,,1,5,1,,28,2,1,1,,,,,,,,,2,6.0,5.0,2,0,2,3,2015/8/1 9:25,2,3,95,2,,,,,721.0,46,1,6,53,8,1
1985,1,70,5,6,5,3,110,2,4,3,,2.0,,4,1952,14,1,2,60000.0,5,3,80.0,1,4.0,4,5,172,1,1,1.0,10,2,120000.0,60000,,,2,1962,1,1,2,3,2011.0,2011.0,2.0,1,5,1,,24,3,1,1,1991.0,7.0,1.0,0.0,1.0,5.0,,,6,5.0,5.0,3,0,2,2,2015/8/3 19:23,2,3,140,5,,,,,540.0,30,1,7,47,12,1
1988,2,15,4,4,3,3,31,2,5,6,,4.0,2008.0,4,1968,1,1,2,60000.0,5,3,200.0,2,4.0,4,4,165,1,1,2.0,11,2,50000.0,24000,,,1,1968,1,1,2,3,2014.0,2014.0,2.0,1,4,1,,6,3,1,1,1989.0,5.0,1.0,36000.0,1.0,1.0,3.0,1.0,2,3.0,2.0,3,0,2,2,2015/8/9 19:12,1,4,100,5,,,,,718.0,39,1,7,40,15,2
1968,2,69,6,7,6,5,109,2,2,1,,,,2,1945,10,1,2,16500.0,3,3,199.0,1,4.0,4,2,173,3,1,1.0,12,2,40000.0,8000,,,1,1948,1,1,2,3,1990.0,1990.0,1.0,1,5,1,,23,4,0,3,1970.0,1.0,1.0,8000.0,1.0,4.0,,,1,5.0,5.0,4,0,1,3,2015/9/23 19:12,2,4,120,4,,,,,579.0,46,1,7,50,15,3
1964,2,64,4,5,4,4,100,1,4,10,,4.0,1984.0,3,1928,3,4,1,36000.0,2,2,80.0,1,4.0,4,5,171,1,2,1.0,13,2,50000.0,36000,,2002.0,3,1936,1,1,1,3,1990.0,1990.0,0.0,1,4,4,,21,3,1,3,1967.0,7.0,2.0,0.0,1.0,5.0,,,1,5.0,5.0,2,0,1,2,2015/7/18 9:33,1,5,120,1,3.0,3.0,1.0,35.0,640.0,-7,1,6,39,18,3
